Date,AAPL,AXP,BA,CAT,CSCO,DIS,GS,HD,IBM,JPM,KO,MCD,MRK,UNH,WBA
16/08/16,109.379997,65.300003,135,84.290001,31.120001,96.879997,165.649994,136.229996,160.699997,65.709999,43.830002,117.940002,63.040001,141.080002,82.800003
17/08/16,109.220001,65.68,134.720001,84.410004,30.719999,96.870003,165.669998,136.149994,160.440002,65.889999,44.060001,117.099998,63.290001,141.710007,82.519997
18/08/16,109.080002,65.629997,135,83.379997,30.48,96.650002,166.059998,134.800003,161.360001,65.949997,44.099998,117.129997,63.630001,142.169998,82.650002
19/08/16,109.360001,65.529999,134.440002,83.839996,30.52,96.389999,166.229996,135.460007,160.039993,65.860001,43.919998,115.010002,63.360001,142.039993,82.589996
22/08/16,108.510002,65.360001,134.990005,83.589996,30.629999,95.870003,166.259995,135.339996,160,65.800003,43.740002,115.419998,63.549999,142.089996,82.739998
23/08/16,108.849998,65.68,134.139999,84.010002,30.98,95.970001,166.080002,136.220001,160.259995,65.769997,43.849998,115.190002,63.580002,142.009995,82.379997
24/08/16,108.029999,65.160004,133.289993,83.150002,31.059999,95.82,165.300003,135.059998,159.050003,65.949997,43.849998,114.870003,62.73,139.869995,81.470001
25/08/16,107.57,65,132.979996,82.839996,31.290001,95.550003,165.899994,135.429993,158.630005,66.07,43.669998,115.43,62.32,137.300003,80.18
26/08/16,106.940002,64.790001,132.229996,82.660004,31.35,95.209999,165.970001,134.360001,158.320007,66.220001,43.32,114.440002,62.849998,136.619995,79.389999
29/08/16,106.82,65.519997,132.899994,83.099998,31.58,94.870003,166.869995,135.240005,159.720001,66.949997,43.540001,115.410004,63.009998,137.270004,80.349998
30/08/16,106,65.449997,130.809998,82.480003,31.540001,94.860001,169.369995,134.100006,159.399994,67.5,43.240002,115.360001,62.709999,136.869995,80.519997
31/08/16,106.099998,65.580002,129.449997,81.949997,31.440001,94.459999,169.460007,134.119995,158.880005,67.5,43.43,115.660004,62.790001,136.050003,80.709999
01/09/16,106.730003,64.860001,129.899994,81.449997,31.58,94.260002,168.509995,134.229996,159.539993,67.209999,43.349998,115.400002,62.900002,135.740005,81.540001
02/09/16,107.730003,65.190002,131.160004,81.690002,31.83,94.419998,169.179993,135.149994,159.550003,67.489998,43.66,115.830002,62.98,136.610001,82.220001
06/09/16,107.699997,65.760002,132.990005,82.080002,31.870001,93.800003,169.330002,134.100006,160.350006,67.440002,43.790001,117.25,63.240002,135.970001,81.639999
07/09/16,108.360001,66.190002,132.639999,83.720001,31.790001,93.709999,169.669998,132.789993,161.639999,67.160004,43.639999,116.919998,62.869999,134.990005,82.879997
08/09/16,105.519997,66.239998,132.899994,83.540001,31.469999,94.089996,171.660004,131.259995,159,67.25,43.630001,116.169998,63.240002,135.440002,84.669998
09/09/16,103.129997,65.120003,128.529999,80.790001,30.85,92.419998,168.570007,127.739998,155.690002,66.650002,42.27,114.580002,62.490002,133.619995,82.919998
12/09/16,105.440002,65.900002,130.119995,81.919998,31.440001,93.639999,171.059998,128.589996,158.289993,67.059998,43.189999,115.949997,63.189999,135.529999,83.57
13/09/16,107.949997,64.360001,128.759995,80.230003,31.059999,92.699997,167,125.720001,155.809998,66.529999,42.279999,114.730003,61.810001,133.949997,82.25
14/09/16,111.769997,63.48,127.669998,81.019997,31,92.260002,166.160004,126.260002,154.050003,66.400002,42.110001,115.18,61.349998,133.690002,80.980003
15/09/16,115.57,63.830002,127.769997,82.029999,31.309999,92.5,168.080002,126.959999,155.660004,66.639999,42.360001,116.139999,62.380001,135.610001,81.400002
16/09/16,114.919998,63.66,126.699997,82.050003,30.84,92.559998,166,126.110001,153.839996,65.82,42.139999,115.279999,62.279999,138.470001,81.489998
19/09/16,113.580002,64.059998,127.480003,81.879997,31.02,92.629997,166.210007,126.290001,154.869995,66.190002,42.099998,115.209999,61.330002,137.679993,80.809998
20/09/16,113.57,63.720001,127.790001,81.699997,31.1,92.949997,166.470001,126.830002,154.449997,66.459999,42.34,116.449997,61.939999,137.470001,80.639999
21/09/16,113.550003,64.279999,130.559998,83.470001,31.360001,92.389999,167.029999,128.110001,155.529999,66.839996,42.529999,116.93,62.700001,139.910004,80.580002
22/09/16,114.620003,64.629997,131.869995,83.5,31.66,93.410004,168.020004,128.75,156.110001,67.389999,42.959999,117.360001,63.02,141.039993,82.379997
23/09/16,112.709999,63.849998,131.779999,82.440002,31.34,93.269997,165.130005,127.790001,154.979996,67.25,42.740002,117.169998,62.959999,140.509995,82.050003
26/09/16,112.879997,63.419998,130.570007,82.370003,31.07,91.959999,161.479996,125.449997,153.979996,65.779999,42.049999,116.529999,62.150002,139.720001,80.68
27/09/16,113.089996,64.279999,131.320007,82.879997,31.48,91.720001,162.889999,126.82,156.770004,66.360001,42.59,116.879997,62.57,140.789993,80.970001
28/09/16,113.949997,64.220001,132.229996,86.589996,31.5,92.199997,163.449997,128.270004,158.289993,66.709999,42.150002,115.18,63.299999,140.410004,80.660004
29/09/16,112.18,63.369999,131.029999,87.470001,31.389999,91.800003,158.949997,127.93,158.110001,65.650002,42.029999,114.790001,61.91,138.320007,79.209999
30/09/16,113.050003,64.040001,131.740005,88.769997,31.719999,92.860001,161.270004,128.679993,158.850006,66.589996,42.32,115.360001,62.41,140,80.620003
03/10/16,112.519997,63.810001,132.380005,88.279999,31.5,92.489998,161.070007,128.5,157.610001,66.510002,42.029999,114.639999,62.52,138.490005,80.379997
04/10/16,113,63.91,132.25,87.510002,31.35,92.589996,162.270004,128.199997,156.460007,66.599998,41.84,113.5,62.459999,138.160004,80.239998
05/10/16,113.050003,64.360001,134.660004,89.419998,31.59,92.449997,166.399994,127.580002,157.080002,67.690002,41.810001,113.410004,62.799999,137.600006,80.510002
06/10/16,113.889999,61.939999,134.419998,89.290001,31.48,92.830002,167.149994,130.190002,156.880005,67.870003,41.709999,113.919998,62.66,136.470001,80.300003
07/10/16,114.059998,61.759998,133.850006,88.470001,31.469999,92.489998,169.830002,128.309998,155.669998,68.110001,41.73,113.449997,62.77,136.660004,79.879997
10/10/16,116.050003,61.900002,135.839996,88.220001,31.469999,92.489998,171.039993,127.25,157.020004,68.639999,41.73,114.709999,63.900002,138.080002,79.650002
11/10/16,116.300003,60.860001,133.740005,87.470001,31.040001,91.860001,169.039993,125.849998,154.789993,68.309998,41.540001,113.68,61.93,134.75,78.080002
12/10/16,117.339996,60.689999,133.160004,87.580002,30.34,91.410004,169.300003,126.690002,154.289993,68.129997,41.779999,114.709999,61.66,135.100006,78.300003
13/10/16,116.980003,60.41,133.380005,86.970001,30.17,91.120003,167.419998,126.290001,153.720001,67.739998,41.759998,115.410004,62.509998,134.190002,78.199997
14/10/16,117.629997,60.150002,133.5,87.669998,30.18,91.300003,170.520004,126.419998,154.449997,67.519997,41.669998,114.089996,62.139999,133.919998,78.309998
17/10/16,117.550003,59.900002,134,87.290001,30.219999,90.830002,169,125.139999,154.770004,67.169998,41.599998,112.410004,61.52,134.130005,78.010002
18/10/16,117.470001,60.080002,135.100006,87.220001,30.440001,91.169998,172.630005,125.739998,150.720001,67.699997,41.970001,111.25,62.09,143.389999,78.080002
19/10/16,117.120003,61.25,136.179993,88,30.35,91.93,174.509995,125.889999,151.259995,68.349998,42.049999,111.260002,61.869999,144.369995,77.18
20/10/16,117.059998,66.779999,135.839996,86.629997,30.16,92.029999,174.509995,126.25,151.520004,68.260002,41.93,110.57,61.919998,145.070007,81.019997
21/10/16,116.599998,67.360001,135.630005,86.330002,30.15,93.029999,174.669998,126.599998,149.630005,68.489998,42.130001,113.93,61.200001,145.369995,81.57
24/10/16,117.650002,67.089996,137.449997,85.989998,30.459999,93.370003,175.119995,127.779999,150.570007,68.870003,42.560001,113.57,60.75,144.690002,83.110001
25/10/16,118.25,66.739998,139.020004,84.480003,30.34,92.75,175.550003,123.339996,150.880005,68.800003,42.540001,112.720001,61.950001,143.779999,82.449997
26/10/16,115.589996,66.800003,145.539993,84.129997,30.549999,93.489998,177.070007,122.709999,151.809998,69.129997,42.439999,112.110001,60.869999,142.229996,82.300003
27/10/16,114.480003,66.93,143.309998,83.010002,30.379999,94.019997,177.75,122.260002,153.350006,69.230003,42.119999,112.080002,61.290001,141.940002,82.160004
28/10/16,113.720001,66.449997,143.009995,83.879997,30.59,93.849998,177.139999,123.580002,152.610001,69.110001,42.23,112.099998,58.84,140.350006,81.099998
31/10/16,113.540001,66.419998,142.429993,83.459999,30.68,92.690002,178.240005,122.010002,153.690002,69.260002,42.400002,112.57,58.720001,141.330002,82.730003
01/11/16,111.489998,66.25,142.410004,82.239998,30.48,92.389999,178.059998,119.889999,152.789993,68.970001,42.119999,112.25,59.299999,139.429993,82.459999
02/11/16,111.589996,65.449997,140.75,81.110001,30.389999,91.910004,176.580002,120.290001,151.949997,68.68,42.049999,112.389999,58.84,138.979996,81.93
03/11/16,109.830002,65.330002,140.020004,81.269997,30.32,93.370003,176.210007,120.18,152.369995,68.379997,42.029999,111.720001,58.43,137.830002,80.779999
04/11/16,108.839996,65.510002,139.539993,82.309998,30.190001,92.449997,175.919998,120.910004,152.429993,67.760002,41.689999,111.040001,58.82,137.710007,80.349998
07/11/16,110.410004,67,143.029999,83.75,30.940001,94.43,181.479996,123.75,155.720001,69.879997,42.459999,112.82,60.049999,141.929993,81.449997
08/11/16,111.059998,67.07,142.199997,84.68,31,94.379997,181.919998,124.25,155.169998,70.029999,42.880001,114.110001,60.509998,142.899994,80.089996
09/11/16,110.879997,68.739998,145.089996,91.199997,31.360001,94.639999,192.630005,126.019997,154.809998,73.25,42.27,114.980003,64.18,141.899994,81.540001
10/11/16,107.790001,70.110001,147.690002,93.449997,31,94.959999,200.869995,129.029999,160.220001,76.650002,40.939999,114.510002,64.959999,146.130005,80.870003
11/11/16,108.43,70.5,148.520004,93.010002,31.360001,97.68,203.940002,129.850006,161.270004,76.690002,41.029999,114.220001,63.950001,146.419998,81.050003
14/11/16,105.709999,72.419998,149.990005,94.169998,31.370001,97.919998,209.179993,127.669998,158.210007,79.510002,41.169998,117.860001,63.529999,152.279999,81.760002
15/11/16,107.110001,72.470001,148.110001,94.440002,31.700001,97.699997,211.190002,124.400002,158.669998,79.360001,41.439999,118.32,63.650002,152.229996,83.279999
16/11/16,109.989998,71.68,146.440002,93.349998,31.57,99.120003,206.259995,125.330002,159.289993,77.400002,41.259998,119.209999,62.630001,151.5,83.190002
17/11/16,109.949997,71.779999,145.330002,92.779999,30.049999,99.370003,209.630005,128.929993,159.800003,78.019997,41.119999,119.449997,62.700001,150.770004,83.989998
18/11/16,110.059998,71,146.350006,92.339996,30.18,98.239998,210.350006,128.330002,160.389999,77.709999,40.91,120,61.869999,149.449997,83.269997
21/11/16,111.730003,71.540001,147.020004,92.900002,30.049999,97.629997,211.080002,128.220001,162.770004,78.050003,41.360001,119.5,62.299999,150.410004,84.419998
22/11/16,111.800003,71.720001,149.520004,93.620003,29.889999,97.709999,211.110001,130.979996,162.669998,78.529999,41.369999,119.690002,61.700001,152.259995,83.919998
23/11/16,111.230003,72.879997,149.740005,96.18,29.709999,98.260002,212.309998,131.210007,161.979996,78.860001,41.119999,120.139999,61.639999,153.539993,84.050003
25/11/16,111.790001,72.860001,150.039993,95.809998,30.09,98.82,211.380005,131.570007,163.139999,78.830002,41.529999,120.660004,62.209999,152.809998,84.43
28/11/16,111.57,72.129997,149.770004,94.900002,29.92,98.970001,210.350006,130.639999,164.520004,78.32,41.75,121.82,61.799999,152.110001,85.349998
29/11/16,111.459999,71.489998,151.639999,94.040001,29.83,99.669998,211.75,129.619995,163.529999,78.919998,41.150002,120.68,62.189999,157.589996,85.529999
30/11/16,110.519997,72.040001,150.559998,95.559998,29.82,99.120003,219.289993,129.399994,162.220001,80.169998,40.349998,119.269997,61.189999,158.320007,84.730003
01/12/16,109.489998,72.529999,152.389999,96.239998,29.450001,98.940002,226.630005,129.470001,159.820007,81.790001,40.169998,118.470001,60.759998,160.940002,84.220001
02/12/16,109.900002,71.860001,152.25,95.139999,29.25,98.5,223.360001,129.869995,160.020004,81.599998,40.360001,118.239998,61.130001,160.729996,85.110001
05/12/16,109.110001,72.029999,152.160004,94.449997,29.530001,99.959999,228.550003,129.679993,159.839996,83.260002,40.619999,119.290001,60.25,157.630005,85
06/12/16,109.949997,72.309998,152.240005,95.220001,29.33,100.660004,231.380005,128.740005,160.350006,83.690002,40.57,119.25,60.279999,157.320007,84.709999
07/12/16,111.029999,74.290001,154.139999,97.330002,29.950001,101.989998,235.559998,132.460007,164.789993,84.07,41.290001,119.919998,60.060001,159.399994,84.989998
08/12/16,112.120003,74.910004,155.389999,96.269997,29.950001,103.379997,241.449997,132.529999,165.360001,85.120003,40.98,120.449997,60.119999,159.320007,84.279999
