Date,BA,CAT,CSCO,GS,IBM,JNJ,JPM,MCD,NKE,TRV,UNH,UTX,V,WBA,WMT
09/07/14,126.790001,110.139999,25.440001,164.669998,188.419998,106.040001,56.02,101.07,39.345001,94.699997,82.739998,113.839996,54.040001,71.949997,77.209999
10/07/14,126.790001,109.360001,25.440001,163.419998,187.699997,105.800003,55.560001,100.580002,38.75,94.300003,82.080002,113.510002,53.884998,71.529999,77.059998
11/07/14,128.089996,109.959999,25.52,164.800003,188,105.099998,55.799999,100.370003,38.645,94.68,82.870003,114.129997,54.25,71.660004,76.82
14/07/14,129.520004,110.089996,25.440001,167,189.860001,105.379997,56.290001,100.470001,38.974998,95.559998,84.269997,114.879997,55.2575,71.489998,76.550003
15/07/14,129.100006,109.849998,25.67,169.169998,188.490005,103.279999,58.27,100.300003,39.014999,95.949997,83.900002,114.839996,55.445,71.589996,76.839996
16/07/14,127.419998,111.400002,25.98,170.470001,192.360001,102.220001,58.709999,99.269997,38.459999,95.620003,83.760002,114.360001,55.6675,71.419998,76.860001
17/07/14,125.879997,109.07,25.629999,170.139999,192.490005,100.370003,57.860001,98.370003,38.264999,94.699997,85.110001,112.769997,54.470001,70.18,76.610001
18/07/14,127.639999,110.169998,25.91,171.470001,192.5,101.800003,58.23,98.989998,38.759998,95.339996,85.519997,113.57,55.049999,71.970001,77.089996
21/07/14,128.300003,110.230003,25.85,171.720001,190.850006,101.269997,58.240002,97.550003,38.41,95.260002,85.059998,112.980003,54.805,71.669998,76.769997
22/07/14,129.740005,110.059998,25.950001,175.020004,194.089996,102.470001,58.669998,96.269997,38.52,91.629997,86.050003,110.860001,55.314999,72.860001,76.639999
23/07/14,126.709999,108.379997,25.68,176.820007,193.630005,102.190002,59,95.349998,38.685001,91.779999,85.940002,109.730003,55.299999,72.900002,76.989998
24/07/14,124.400002,105.040001,25.83,176.259995,195.240005,102.199997,59.169998,95.349998,39.299999,92.879997,85.68,108.949997,55.685001,73.080002,76.349998
25/07/14,123.199997,104.849998,25.969999,175.399994,194.399994,102.110001,59.009998,95.720001,38.860001,92.099998,84.68,108.879997,53.692501,73.290001,75.970001
28/07/14,123.059998,104.150002,25.92,175.949997,195.779999,102.110001,59.189999,95.779999,39.200001,91.879997,85.75,108.989998,53.555,71.449997,75.709999
29/07/14,122.32,104.690002,25.709999,175.539993,194.570007,101.959999,58.639999,95.82,39.049999,91.120003,84.269997,107.330002,53.375,70.160004,75.440002
30/07/14,122.290001,103.379997,25.629999,175.759995,194,102.300003,58.91,95.949997,39.805,90.940002,82.949997,106.379997,53.514999,70.889999,74.779999
31/07/14,120.480003,100.75,25.23,172.869995,191.669998,100.089996,57.669998,94.559998,38.564999,89.559998,81.050003,105.150002,52.752499,68.769997,73.580002
01/08/14,120.379997,100.519997,25,170.25,189.149994,99.900002,56.48,94.300003,38.389999,89.610001,81.489998,104.75,52.952499,70.529999,73.540001
04/08/14,119.93,101.809998,25.17,171.690002,189.639999,100.160004,56.650002,94.309998,38.580002,89.900002,82.269997,105.050003,53.040001,72.110001,73.540001
05/08/14,121.269997,101.5,24.969999,169.419998,187.100006,99.82,56.060001,93.43,38.459999,89.120003,80.989998,105.019997,52.634998,69.120003,73.339996
06/08/14,118.339996,101.489998,24.93,169.740005,185.970001,100.709999,56.23,93.470001,38.57,89.699997,81.5,103.790001,52.672501,59.209999,74.199997
07/08/14,119.839996,101.940002,24.860001,169.100006,184.300003,99.93,55.91,93.309998,38.174999,89.900002,79.260002,104.220001,52.259998,60.869999,73.949997
08/08/14,120.629997,103.279999,25.030001,172.259995,186.630005,101.080002,56.34,93.550003,38.529999,90.480003,80.120003,105.959999,52.615002,60.700001,74.669998
11/08/14,120.800003,104.5,25.23,172.460007,187.470001,101.160004,56.32,93.529999,38.529999,90.660004,79.870003,105.720001,52.645,61.990002,74.360001
12/08/14,120.470001,104.330002,25.15,172.330002,187.339996,100.629997,56.349998,93.559998,38.365002,91.089996,80.220001,104.910004,52.575001,62.16,74.220001
13/08/14,121.980003,105.160004,25.200001,172.369995,187.949997,101.739998,56.720001,93.959999,38.625,91.269997,81.510002,105.559998,52.857498,62.450001,74.029999
14/08/14,124.110001,105.660004,24.540001,172.729996,187.880005,102.019997,56.98,93.660004,38.650002,92.220001,81.82,105.769997,53.130001,62.25,74.389999
15/08/14,123.160004,105.739998,24.43,171.899994,187.380005,101.169998,56.75,93.790001,38.564999,92.129997,81.470001,105.629997,52.547501,61.75,73.900002
18/08/14,124.980003,106.980003,24.629999,174.550003,189.360001,102.699997,57.23,94.25,39.275002,92.989998,82.339996,108.089996,53.580002,62.07,74.489998
19/08/14,125.580002,107.300003,24.639999,173.960007,190.070007,102.959999,57.560001,94.449997,39.255001,92.910004,83.470001,108.559998,53.75,62.150002,74.879997
20/08/14,127.349998,107.699997,24.709999,174.029999,190.100006,103.209999,57.639999,94.190002,39.455002,93.110001,83.43,109.709999,54.049999,62,74.959999
21/08/14,127.5,107.970001,24.889999,175.149994,191.229996,104.190002,58.5,94.529999,39.470001,93.940002,83.769997,110.059998,53.9375,61.07,75.550003
22/08/14,127.459999,107.309998,24.65,175.470001,190.410004,103.099998,58.490002,94.449997,39.645,93.75,83.779999,109.389999,54.022499,61.049999,75.730003
25/08/14,128.330002,107.970001,24.700001,177.869995,191.160004,103.230003,59.34,94.440002,40.005001,94.290001,84.239998,109.82,54.005001,60.790001,75.690002
26/08/14,128.600006,108.059998,24.809999,177.899994,192.990005,103.440002,59.740002,94.110001,39.740002,94.199997,85.120003,109.68,54.182499,60.93,75.519997
27/08/14,128.199997,108.550003,24.799999,177.809998,192.25,103.220001,59.59,94.650002,39.860001,94.760002,86.379997,109.089996,54.282501,60.529999,75.849998
28/08/14,127.110001,108.650002,24.85,177.649994,192,102.949997,59.16,94.139999,39.41,94.339996,86.339996,109.110001,53.650002,60.470001,75.900002
29/08/14,126.800003,109.07,24.99,179.110001,192.300003,103.730003,59.450001,93.720001,39.275002,94.709999,86.68,107.980003,53.130001,60.52,75.5
02/09/14,125.480003,108.919998,24.879999,179.770004,191.559998,103.360001,59.669998,92.800003,39.639999,94.519997,86.389999,109.040001,53.682499,60.009998,75.75
03/09/14,125.940002,108.459999,25.040001,179.600006,191.949997,103.760002,59.700001,93.139999,39.41,94.470001,86.790001,109.199997,53.724998,60.220001,76.010002
04/09/14,125.459999,108.82,24.91,180.080002,190.679993,103.839996,59.709999,93.010002,39.959999,94.260002,87.059998,109.220001,53.564999,62.459999,76.559998
05/09/14,124.690002,108.540001,25,179.75,191.199997,104.419998,59.91,93.07,41.02,94.209999,87.75,108.699997,53.552502,63.950001,77.510002
08/09/14,127.980003,107.910004,24.950001,180.110001,190.139999,104.050003,59.889999,92.5,41.200001,93.269997,87.910004,108.599998,53.942501,62.959999,76.529999
09/09/14,128.210007,107.400002,24.860001,177.399994,189.990005,103.800003,59.060001,91.089996,40.919998,92.849998,88.559998,108.669998,53.57,62.610001,76.739998
10/09/14,128.220001,105.93,24.93,179.869995,191.539993,104.989998,59.220001,93,41.235001,93.169998,87.25,108.5,54.220001,63.32,76.510002
11/09/14,127.639999,105.589996,25.18,181,191.720001,104.550003,59.759998,92.959999,40.91,92.919998,87.080002,108.510002,53.737499,63.439999,76.099998
12/09/14,126.949997,105.019997,25.16,183.169998,191.279999,104.580002,60.029999,93.339996,40.919998,92.419998,86.18,108.349998,53.509998,62.82,75.769997
15/09/14,126.309998,104.860001,25.059999,183.979996,191.809998,104.720001,59.939999,93.470001,40.805,93.550003,86.029999,108.32,53.66,62.720001,75.809998
16/09/14,127.32,104.860001,25.219999,184.039993,192.960007,105.879997,59.990002,93.75,40.599998,93.639999,87.160004,108.540001,54.325001,63.639999,76.32
17/09/14,127.760002,103.989998,25.209999,184.820007,192.800003,106.190002,60.310001,93.529999,40.755001,93.650002,86.989998,108.029999,53.8825,63.73,76.239998
18/09/14,128.580002,104.339996,25.219999,187.889999,193.75,107.349998,61.32,93.480003,40.985001,94.779999,87.629997,108.519997,54.110001,63.18,76.220001
19/09/14,129.350006,102.510002,25.200001,186.199997,194,107.989998,61.110001,94.360001,40.904999,94.610001,87.800003,108.449997,54.0625,62.880001,76.839996
22/09/14,128.610001,100.900002,24.969999,185.289993,193.110001,107.879997,60.91,93.93,40.355,94.599998,87.769997,106.470001,53.470001,60.419998,76.309998
23/09/14,127.379997,99.989998,24.700001,185.089996,191.619995,107.459999,60.939999,93.510002,40.060001,93.550003,86.589996,105.419998,53.115002,61.099998,75.599998
24/09/14,128.580002,101.199997,24.98,187.809998,192.309998,108.639999,61.630001,95,40.419998,94.790001,88.209999,106.07,53.602501,61.52,77.080002
25/09/14,127.139999,99.510002,24.540001,184.089996,189.009995,107.099998,60.150002,94.160004,39.875,93.699997,86.18,104.489998,52.677502,60.490002,76.120003
26/09/14,128.690002,100.379997,25,185.119995,190.059998,107.099998,60.560001,94.699997,44.75,94.400002,86.599998,105.239998,52.985001,60.18,76.489998
29/09/14,128.770004,99.830002,25.120001,183.830002,189.639999,106.540001,60.330002,96.220001,44.560001,93.769997,86.510002,105.080002,52.732498,59.599998,76.080002
30/09/14,127.379997,99.029999,25.17,183.570007,189.830002,106.589996,60.240002,94.809998,44.599998,93.940002,86.25,105.599998,53.342499,59.27,76.470001
01/10/14,124.669998,97.610001,25.030001,180.699997,187.169998,104.300003,59.77,94.190002,43.849998,93.099998,84.879997,103.839996,52.502499,59.040001,76.120003
02/10/14,124.169998,97.410004,25.059999,182.880005,186.910004,103.849998,58.84,94.120003,44.650002,93.07,84.900002,103.239998,52.43,59.759998,76.230003
03/10/14,126.360001,97.389999,25.309999,188.070007,188.669998,105.129997,60.299999,94.860001,45.145,94.459999,86.019997,104.419998,52.997501,60.77,77.32
06/10/14,126.260002,98,25.01,187.479996,189.039993,104.860001,60.18,93.839996,44.610001,94.699997,85.089996,104.220001,52.947498,60.650002,77.349998
07/10/14,123.32,94.699997,24.639999,183.800003,185.710007,102.389999,59.27,92.809998,44.035,93.660004,84.190002,101.419998,52.012501,59.84,77.300003
