Date,BA,CAT,CVX,GS,INTC,JPM,MCD,MSFT,NKE,PFE,UNH,VZ,WBA,XOM,MMM
13/03/17,179.050003,92.639999,109.349998,248.160004,35.16,91.360001,127.610001,64.709999,56.669998,34.110001,170.210007,49.470001,85.610001,81.419998,191.520004
14/03/17,178.729996,91.860001,107.360001,247.720001,35.18,91.510002,127.800003,64.410004,57.279999,34.220001,169.059998,49.360001,85.400002,80.989998,190.330002
15/03/17,178.710007,93.360001,108.879997,246.779999,35.099998,91.730003,127.879997,64.75,57.66,34.630001,171.779999,50.139999,85.800003,82,191.199997
16/03/17,178.190002,92.849998,107.860001,248.220001,35.139999,91.639999,127.980003,64.639999,57.599998,34.43,171.300003,50.040001,85.669998,82.07,190.309998
17/03/17,180.100006,92.910004,107.68,243.940002,35.27,90.68,128.639999,64.870003,57.799999,34.32,169.699997,50.389999,85.910004,82,192.360001
20/03/17,179.389999,95.400002,107.660004,242.139999,35.43,90.029999,128.779999,64.93,58.68,34.380001,168,50.240002,84.629997,82,193.009995
21/03/17,175.960007,92.43,108.040001,233,35.040001,87.389999,128.520004,64.209999,58.009998,34.25,167.699997,50.16,83.209999,81.830002,192.130005
22/03/17,176.979996,92.43,108.389999,231.070007,35.369999,87.529999,129.100006,65.029999,53.919998,34.470001,167.029999,49.709999,83.029999,81.760002,192.220001
23/03/17,177.259995,92.230003,107.870003,231.899994,35.27,87.389999,129,64.870003,55.369999,34.290001,165.289993,49.639999,82.980003,81.860001,192.139999
24/03/17,175.820007,92.150002,107.989998,228.410004,35.16,87.290001,129.339996,64.980003,56.360001,34,165,49.68,82.970001,81.230003,191.509995
27/03/17,176.100006,91.510002,106.279999,225.479996,35.389999,87.239998,129.490005,65.099998,55.93,34.18,164.600006,49.139999,83.559998,81.25,190.429993
28/03/17,177.360001,92.949997,107.169998,229.330002,35.599998,88.599998,129.449997,65.290001,56.619999,34.16,165.350006,49.299999,83.739998,81.839996,190.990005
29/03/17,177.630005,92.860001,108.07,228.449997,35.57,88.269997,128.839996,65.470001,56.68,34.330002,163.440002,49.130001,83.769997,82.019997,190.679993
30/03/17,177.979996,93.220001,107.779999,231.220001,35.75,89.029999,129.320007,65.709999,56.040001,34.349998,164.990005,49.060001,83.309998,83.699997,191.279999
31/03/17,176.860001,92.760002,107.370003,229.720001,36.07,87.839996,129.610001,65.860001,55.73,34.209999,164.009995,48.75,83.050003,82.010002,191.330002
03/04/17,176.649994,92.269997,107.800003,228.960007,36.16,87.519997,129.610001,65.550003,55.560001,34.240002,165.589996,49.18,82.949997,82.07,190.720001
04/04/17,178.699997,94.129997,108.660004,229.259995,36.279999,87.309998,129.289993,65.730003,55.040001,34.34,164.970001,49.310001,82.5,82.370003,190.190002
05/04/17,177.080002,94.239998,108.639999,227.660004,36.220001,86.190002,130.410004,65.559998,54.98,34.189999,165.369995,49.02,81.169998,82.529999,190.240005
06/04/17,177.369995,95.82,109.290001,228.639999,36.029999,86.480003,130.149994,65.730003,55.139999,34.110001,165.339996,48.43,81.660004,83.010002,189.889999
